ID,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,genre,title,length,On air Status
710,Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,81,80,Animation,Being Human (U.S.),1h,2008-2013
643,The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,82,Animation,The Carrie Diaries,42m,2013-2014
569,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,ActionAdventure,Baby Daddy,22m,2012-2017
590,The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,82,82,Comedy,The Angriest Man in Brooklyn,1h 23m,2014
903,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,80,Comedy,Sense8,1h,2015-2018
934,Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,91,80,Crime,Girlfriends' Guide to Divorce,1h,2014-2018
746,Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,79,82,Romance,Fried,23m,On air 
581,The Great Gilly Hopkins,PG,for thematic material and language,60,2016,55,80,ActionandCrime,The Great Gilly Hopkins,1h 39m,2016
507,The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,73,80,Comedy,The Magicians,1h,On air 
816,One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,58,82,FantasyandHorror,One Day at a Time,30m,2017-2019
538,Better Off Single,TV-MA,,110,2016,81,82,Crime,Better Off Single,1h 25m,2016
792,The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,80,80,FantasyandHorror,The Matchbreaker,1h 34m,2016
979,Tramps,TV-MA,,110,2017,81,82,Sci-Fi,Tramps,1h 24m,2017
983,Slam,TV-MA,,110,2017,81,82,Mystery,Slam,1h 40m,2017
896,The Waterboy,PG-13,language and some crude sexual humor,80,1998,81,80,Fantasy,The Waterboy,1h 30m,1998
542,10 Things I Hate About You,PG-13,adult content adult language and mild violence,80,1999,81,80,Mystery,10 Things I Hate About You,1h 37m,1999
726,Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,81,80,AnimationandCrime,Grease,1h 50m,1978
738,How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,86,80,Animation,How to Lose a Guy in 10 Days,1h 56m,2003
895,The Benchwarmers,PG-13,crude and suggestive humor and for language,80,2006,63,80,Thriller,The Benchwarmers,1h 20m,2006
978,Step Up,PG-13,thematic elements brief violence and innuendo,80,2006,74,80,Animation,Step Up,1h 44m,2006
821,High School Musical 2,TV-G,Suitable for all ages.,35,2007,69,80,ActionandCrime,High School Musical 2,1h 44m,2007
531,Twilight,PG-13,some violence and one sexual scene,80,2008,81,80,Sci-Fi,Twilight,2h 2m,2008
734,Coraline,PG,thematic elements scary images some language and suggestive humor,60,2009,81,80,FantasyandHorror,Coraline,1h 40m,2009
649,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,81,80,Mystery,Hannah Montana: The Movie,1h 42m,2009
554,Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,94,80,Animation,Friday Night Lights,44m,2006-2011
549,StarStruck,TV-G,Suitable for all ages.,35,2010,68,82,Musical,StarStruck,1h 30m,2010
552,Mean Girls 2,PG-13,For some rude and suggestive material and for language.,80,2011,81,82,Drama,Mean Girls 2,1h 36m,2011
966,That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,81,80,Action,That '70s Show,22m,1998-2006
919,Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,69,80,Action,Heartland,45m,On air 
680,Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,89,80,ActionAdventure,Switched at Birth,1h,2011-2017
580,Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81,80,Biography,Hart of Dixie,1h,2011-2015
673,Safe Haven,PG-13,thematic material involving threatening behavior and for violence and sexuality,80,2013,81,80,Action,Safe Haven,1h 55m,2013
939,The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79,80,Drama,The Night Shift,42m,2014-2017
712,Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81,80,Horror,Reign,42m,2013-2017
539,Fuller House,TV-G,Suitable for all ages.,35,2016,81,80,ActionAdventure,Fuller House,30m,On air 
772,Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,Action,Gilmore Girls: A Year in the Life,1h 30m,2016
982,Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,82,80,Action,Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,1h,2016
620,The Wedding Planner,PG-13,language and some sexual humor,80,2001,68,82,Animation,The Wedding Planner,1h 43m,2001
667,Blow,R,pervasive drug content and language some violence and sexuality,100,2001,86,80,Crime,Blow,2h 4m,2001
890,High School Musical,TV-G,Suitable for all ages.,35,2006,56,80,Action,High School Musical,1h 38m,2006
857,Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77,80,Comedy,Bones,40m,2005-2017
634,Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,64,80,Drama,Law & Order: Special Victims Unit,1h,On air 
797,NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58,80,Crime,NCIS,1h,On air 
975,Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,89,80,Comedy,Army Wives,1h,2007-2013
730,Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,95,80,Documentary,Private Practice,1h,2007-2013
535,Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,56,80,Mystery,Revenge,44m,2011-2015
741,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,80,Drama,Scandal,43m,2012-2018
769,Magic Mike,R,pervasive sexual content brief graphic nudity language and some drug use,100,2012,81,80,Comedy,Magic Mike,1h 50m,2012
924,Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,62,80,Biography,Trouble with the Curve,1h 51m,2012
503,Home,PG,mild action and some rude humor,60,2015,81,80,Comedy,Home,27m,On air 
878,Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,89,80,Drama,Skin Wars,1h,On air 
855,Felipe Neto: My Life Makes No Sense,TV-MA,,110,2017,85,82,Biography,Felipe Neto: My Life Makes No Sense,1h 27m,2017
736,Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,83,80,Thriller,Lost,44m,2004-2010
644,Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,81,80,Action,Weeds,28m,2005-2012
929,The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2010,81,82,Comedy,The Tudors,1h,2007-2010
